city,state_id,state_name,country
Seaside,CA,California,United States
Burlington,VT,Vermont,United States
Arvada,CO,Colorado,United States
Waldorf,MD,Maryland,United States
Independence,MO,Missouri,United States
Rochester,MN,Minnesota,United States
Logan,UT,Utah,United States
Harlingen,TX,Texas,United States
Berkeley,CA,California,United States
Clovis,CA,California,United States
Round Rock,TX,Texas,United States
Pueblo,CO,Colorado,United States
Temple,TX,Texas,United States
Meridian,ID,Idaho,United States
Duluth,MN,Minnesota,United States
The Woodlands,TX,Texas,United States
Boulder,CO,Colorado,United States
Richardson,TX,Texas,United States
Cambridge,MA,Massachusetts,United States
West Palm Beach,FL,Florida,United States
Port Arthur,TX,Texas,United States
East Los Angeles,CA,California,United States
Redding,CA,California,United States
Clearwater,FL,Florida,United States
Monroe,LA,Louisiana,United States
Utica,NY,New York,United States
St. Cloud,MN,Minnesota,United States
Mandeville,LA,Louisiana,United States
West Jordan,UT,Utah,United States
North Charleston,SC,South Carolina,United States
Richmond,CA,California,United States
Westminster,CO,Colorado,United States
Saginaw,MI,Michigan,United States
Kailua,HI,Hawaii,United States
Brandon,FL,Florida,United States
Ponce,PR,Puerto Rico,United States
Carlsbad,CA,California,United States
Lowell,MA,Massachusetts,United States
Broken Arrow,OK,Oklahoma,United States
Elgin,IL,Illinois,United States
Gresham,OR,Oregon,United States
League City,TX,Texas,United States
Downey,CA,California,United States
Waterloo,IA,Iowa,United States
Murrieta,CA,California,United States
Leominster,MA,Massachusetts,United States
Longview,TX,Texas,United States
Jacksonville,NC,North Carolina,United States
Pompano Beach,FL,Florida,United States
Bend,OR,Oregon,United States
Miami Gardens,FL,Florida,United States
Costa Mesa,CA,California,United States
Sioux City,IA,Iowa,United States
Everett,WA,Washington,United States
Gilroy,CA,California,United States
San Buenaventura,CA,California,United States
Temecula,CA,California,United States
Sugar Land,TX,Texas,United States
Chico,CA,California,United States
Eau Claire,WI,Wisconsin,United States
El Monte,CA,California,United States
Idaho Falls,ID,Idaho,United States
Dearborn,MI,Michigan,United States
Bloomington,IN,Indiana,United States
West Covina,CA,California,United States
Sparks,NV,Nevada,United States
South Fulton,GA,Georgia,United States
Centennial,CO,Colorado,United States
Sandy Springs,GA,Georgia,United States
Inglewood,CA,California,United States
Hillsboro,OR,Oregon,United States
Columbia,MD,Maryland,United States
Burbank,CA,California,United States
Davie,FL,Florida,United States
El Cajon,CA,California,United States
Jurupa Valley,CA,California,United States
Allen,TX,Texas,United States
Auburn,AL,Alabama,United States
Renton,WA,Washington,United States
Holland,MI,Michigan,United States
Brockton,MA,Massachusetts,United States
Rio Rancho,NM,New Mexico,United States
San Mateo,CA,California,United States
Rialto,CA,California,United States
Spokane Valley,WA,Washington,United States
Charlottesville,VA,Virginia,United States
Menifee,CA,California,United States
Daly City,CA,California,United States
Wichita Falls,TX,Texas,United States
Riverview,FL,Florida,United States
Norwalk,CA,California,United States
Lee's Summit,MO,Missouri,United States
Longmont,CO,Colorado,United States
Vacaville,CA,California,United States
